# n ra dec fovra fovdec 
0 3.19253 -20.0 3.0 3.0  
1 6.38507 -20.0 3.0 3.0  
2 9.5776 -20.0 3.0 3.0  
3 12.77013 -20.0 3.0 3.0  
4 15.96267 -20.0 3.0 3.0  
5 19.1552 -20.0 3.0 3.0  
6 22.34773 -20.0 3.0 3.0  
7 25.54027 -20.0 3.0 3.0  
8 28.7328 -20.0 3.0 3.0  
9 31.92533 -20.0 3.0 3.0  
10 35.11787 -20.0 3.0 3.0  
11 38.3104 -20.0 3.0 3.0  
12 41.50293 -20.0 3.0 3.0  
13 44.69547 -20.0 3.0 3.0  
14 47.888 -20.0 3.0 3.0  
15 51.08053 -20.0 3.0 3.0  
16 54.27307 -20.0 3.0 3.0  
17 57.4656 -20.0 3.0 3.0  
18 60.65813 -20.0 3.0 3.0  
19 63.85067 -20.0 3.0 3.0  
20 67.0432 -20.0 3.0 3.0  
21 70.23573 -20.0 3.0 3.0  
22 73.42827 -20.0 3.0 3.0  
23 76.6208 -20.0 3.0 3.0  
24 79.81333 -20.0 3.0 3.0  
25 83.00587 -20.0 3.0 3.0  
26 86.1984 -20.0 3.0 3.0  
27 89.39093 -20.0 3.0 3.0  
28 92.58347 -20.0 3.0 3.0  
29 95.776 -20.0 3.0 3.0  
30 98.96853 -20.0 3.0 3.0  
31 102.16107 -20.0 3.0 3.0  
32 105.3536 -20.0 3.0 3.0  
33 108.54613 -20.0 3.0 3.0  
34 111.73867 -20.0 3.0 3.0  
35 114.9312 -20.0 3.0 3.0  
36 118.12373 -20.0 3.0 3.0  
37 121.31627 -20.0 3.0 3.0  
38 124.5088 -20.0 3.0 3.0  
39 127.70133 -20.0 3.0 3.0  
40 130.89387 -20.0 3.0 3.0  
41 134.0864 -20.0 3.0 3.0  
42 137.27893 -20.0 3.0 3.0  
43 140.47147 -20.0 3.0 3.0  
44 143.664 -20.0 3.0 3.0  
45 146.85653 -20.0 3.0 3.0  
46 150.04907 -20.0 3.0 3.0  
47 153.2416 -20.0 3.0 3.0  
48 156.43413 -20.0 3.0 3.0  
49 159.62667 -20.0 3.0 3.0  
50 162.8192 -20.0 3.0 3.0  
51 166.01173 -20.0 3.0 3.0  
52 169.20427 -20.0 3.0 3.0  
53 172.3968 -20.0 3.0 3.0  
54 175.58933 -20.0 3.0 3.0  
55 178.78187 -20.0 3.0 3.0  
56 181.9744 -20.0 3.0 3.0  
57 185.16693 -20.0 3.0 3.0  
58 188.35947 -20.0 3.0 3.0  
59 191.552 -20.0 3.0 3.0  
60 194.74453 -20.0 3.0 3.0  
61 197.93707 -20.0 3.0 3.0  
62 201.1296 -20.0 3.0 3.0  
63 204.32213 -20.0 3.0 3.0  
64 207.51467 -20.0 3.0 3.0  
65 210.7072 -20.0 3.0 3.0  
66 213.89973 -20.0 3.0 3.0  
67 217.09227 -20.0 3.0 3.0  
68 220.2848 -20.0 3.0 3.0  
69 223.47733 -20.0 3.0 3.0  
70 226.66987 -20.0 3.0 3.0  
71 229.8624 -20.0 3.0 3.0  
72 233.05493 -20.0 3.0 3.0  
73 236.24747 -20.0 3.0 3.0  
74 239.44 -20.0 3.0 3.0  
75 242.63253 -20.0 3.0 3.0  
76 245.82507 -20.0 3.0 3.0  
77 249.0176 -20.0 3.0 3.0  
78 252.21013 -20.0 3.0 3.0  
79 255.40267 -20.0 3.0 3.0  
80 258.5952 -20.0 3.0 3.0  
81 261.78773 -20.0 3.0 3.0  
82 264.98027 -20.0 3.0 3.0  
83 268.1728 -20.0 3.0 3.0  
84 271.36533 -20.0 3.0 3.0  
85 274.55787 -20.0 3.0 3.0  
86 277.7504 -20.0 3.0 3.0  
87 280.94293 -20.0 3.0 3.0  
88 284.13547 -20.0 3.0 3.0  
89 287.328 -20.0 3.0 3.0  
90 290.52053 -20.0 3.0 3.0  
91 293.71307 -20.0 3.0 3.0  
92 296.9056 -20.0 3.0 3.0  
93 300.09813 -20.0 3.0 3.0  
94 303.29067 -20.0 3.0 3.0  
95 306.4832 -20.0 3.0 3.0  
96 309.67573 -20.0 3.0 3.0  
97 312.86827 -20.0 3.0 3.0  
98 316.0608 -20.0 3.0 3.0  
99 319.25333 -20.0 3.0 3.0  
100 322.44587 -20.0 3.0 3.0  
101 325.6384 -20.0 3.0 3.0  
102 328.83093 -20.0 3.0 3.0  
103 332.02347 -20.0 3.0 3.0  
104 335.216 -20.0 3.0 3.0  
105 338.40853 -20.0 3.0 3.0  
106 341.60106 -20.0 3.0 3.0  
107 344.7936 -20.0 3.0 3.0  
108 347.98613 -20.0 3.0 3.0  
109 351.17866 -20.0 3.0 3.0  
110 354.3712 -20.0 3.0 3.0  
111 357.56373 -20.0 3.0 3.0  
112 3.13708 -17.0 3.0 3.0  
113 6.27415 -17.0 3.0 3.0  
114 9.41123 -17.0 3.0 3.0  
115 12.5483 -17.0 3.0 3.0  
116 15.68538 -17.0 3.0 3.0  
117 18.82245 -17.0 3.0 3.0  
118 21.95953 -17.0 3.0 3.0  
119 25.0966 -17.0 3.0 3.0  
120 28.23368 -17.0 3.0 3.0  
121 31.37075 -17.0 3.0 3.0  
122 34.50783 -17.0 3.0 3.0  
123 37.6449 -17.0 3.0 3.0  
124 40.78198 -17.0 3.0 3.0  
125 43.91905 -17.0 3.0 3.0  
126 47.05613 -17.0 3.0 3.0  
127 50.1932 -17.0 3.0 3.0  
128 53.33028 -17.0 3.0 3.0  
